id,type,group,name
0,5,gyro,xRaw
1,5,gyro,yRaw
2,5,gyro,zRaw
3,7,gyro,xVariance
4,2,oa,back
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,3,pwm,m3_pwm
9,3,pwm,m4_pwm
10,2,crtp,rxRate
11,2,crtp,rxDrpRte
12,2,crtp,txRate
13,7,pm,vbat
14,2,pm,vbatMV
15,7,pm,extVbat
16,2,pm,extVbatMV
17,7,pm,extCurr
18,7,pm,chargeCurrent
19,4,pm,state
20,1,pm,batteryLevel
21,1,radio,rssi
22,4,sys,canfly
23,1,sitAw,FFAccWZDetected
24,1,sitAw,ARDetected
25,1,sitAw,TuDetected
26,2,extrx,ch0
27,2,extrx,ch1
28,2,extrx,ch2
29,2,extrx,ch3
30,2,extrx,thrust
31,7,extrx,roll
32,7,extrx,pitch
33,7,extrx,yaw
34,2,range,front
35,2,range,back
36,2,range,up
37,2,range,left
38,2,range,right
39,2,range,zrange
40,7,ext_pos,X
41,7,ext_pos,Y
42,7,ext_pos,Z
43,7,pid_attitude,roll_outP
44,7,pid_attitude,roll_outI
45,7,pid_attitude,roll_outD
46,7,pid_attitude,pitch_outP
47,7,pid_attitude,pitch_outI
48,7,pid_attitude,pitch_outD
49,7,pid_attitude,yaw_outP
50,7,pid_attitude,yaw_outI
51,7,pid_attitude,yaw_outD
52,7,pid_rate,roll_outP
53,7,pid_rate,roll_outI
54,7,pid_rate,roll_outD
55,7,pid_rate,pitch_outP
56,7,pid_rate,pitch_outI
57,7,pid_rate,pitch_outD
58,7,pid_rate,yaw_outP
59,7,pid_rate,yaw_outI
60,7,pid_rate,yaw_outD
61,7,sensfusion6,qw
62,7,sensfusion6,qx
63,7,sensfusion6,qy
64,7,sensfusion6,qz
65,7,sensfusion6,gravityX
66,7,sensfusion6,gravityY
67,7,sensfusion6,gravityZ
68,7,sensfusion6,accZbase
69,1,sensfusion6,isInit
70,1,sensfusion6,isCalibrated
71,7,acc,x
72,7,acc,y
73,7,acc,z
74,7,baro,asl
75,7,baro,temp
76,7,baro,pressure
